epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3832,1.47285,2.89925,1.99068,0.09674,0.50791,0.0628,0.02406,2.19491,232.857,5.87756,0.00054928,0.00054928,0.00054928
2,93.5716,1.74142,1.98287,2.22699,0.00017,0.04461,9e-05,3e-05,4.54753,113.846,11.5049,0.000995557,0.000995557,0.000995557
3,129.947,1.76644,1.76667,2.18755,0.31196,0.41584,0.25287,0.09629,2.07384,7.03168,2.76224,0.00133181,0.00133181,0.00133181
4,165.983,1.68747,1.67874,2.09665,0.4869,0.34757,0.38403,0.16774,2.36649,2.56567,2.92748,0.0011719,0.0011719,0.0011719
5,202.092,1.5508,1.42598,1.97673,0.7653,0.56217,0.68211,0.39568,1.66218,1.82422,2.19612,0.00100687,0.00100687,0.00100687
6,238.273,1.45557,1.24854,1.87002,0.62699,0.54208,0.57166,0.31911,1.81269,2.1904,2.21357,0.000841835,0.000841835,0.000841835
7,274.256,1.35465,1.1285,1.7739,0.85417,0.73131,0.82592,0.53298,1.42769,1.10659,1.91207,0.000676802,0.000676802,0.000676802
8,310.069,1.30102,1.03762,1.7169,0.89527,0.70448,0.82753,0.51526,1.46385,1.1354,1.9512,0.000511769,0.000511769,0.000511769
9,345.898,1.22581,0.97612,1.6429,0.78144,0.75556,0.84045,0.56728,1.29691,1.03472,1.7672,0.000346736,0.000346736,0.000346736
10,381.917,1.15001,0.86566,1.58221,0.90746,0.74973,0.86571,0.59996,1.25147,0.92579,1.68525,0.000181703,0.000181703,0.000181703
